block,order_id,label,fixed_minutes,description
pre_ulaska,0,Pre ulaska,,Harmonika | meze | aperitiv
ulaz_mladenaca,0.5,Ulaz mladenaca,,Svečani ulaz mladenaca uz pratnju pesme
kafanska,1,Kafanska,,Stara kafanska akustična muzika
vencanje,2,Venčanje sa matičarem,15,Odvija se unutar sale i traje oko 15 min
pauza_muzike,7.5,Pauza muzike,,Predah i ručak za muzičare uz tihe instrumenale
bidermajer,2.5,Bidermajer,,Instrumental u pozadini i komentari pevača
prvi_ples,3,Prvi ples,,Prva pesma ples mladenaca uz vatromet — druga pesma poziv na pridruživanje
posle_plesa,4,Posle plesa,,Par sporijih pesama pred sekciju sa brzim ritmom
veselje,5,Veselje,,Noviji brzi hitovi za igru
pred_kolo,6,Pred kolo,,Narodna muzika pre kola
kolo,7,Kolo,,Kratak blok popularnih srpskih kola
folk,8,Folk,,Narodna muzika za dušu
torta,9,Torta,,Pušteno sa YouTube — Danče uz tortu — Bez tebe remix uz šampanjac kupolu
pop_rock,10,Pop-rock,,Pop-rock - zabavna muzika
pop_folk,11,Pop-Folk,,Prelaz sa pop na turbofolk
turbofolk,12,Turbofolk,,Kada pocne da radi dedina rakija
pijani_kraj,13,Pijani kraj,,Spore i emotivne
